 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
  291  2015-11-18T15:59:16  6.091e-04  2.601e-03  0.000e+00
  292  2015-11-18T15:59:16  6.067e-04  2.596e-03  0.000e+00
  293  2015-11-18T15:59:16  6.029e-04  2.588e-03  0.000e+00
  294  2015-11-18T15:59:17  5.990e-04  2.580e-03  0.000e+00
  295  2015-11-18T15:59:17  5.939e-04  2.569e-03  0.000e+00
  296  2015-11-18T15:59:17  5.863e-04  2.552e-03  0.000e+00
  297  2015-11-18T15:59:17  5.732e-04  2.524e-03  0.000e+00
  298  2015-11-18T15:59:17  5.585e-04  2.491e-03  0.000e+00
  299  2015-11-18T15:59:17  5.423e-04  2.455e-03  0.000e+00
Saving checkpoint data.
  300  2015-11-18T15:59:17  5.282e-04  2.423e-03  0.000e+00
  301  2015-11-18T15:59:17  5.087e-04  2.377e-03  0.000e+00
  302  2015-11-18T15:59:17  4.986e-04  2.354e-03  0.000e+00
  303  2015-11-18T15:59:17  4.860e-04  2.324e-03  0.000e+00
  304  2015-11-18T15:59:17  4.788e-04  2.307e-03  0.000e+00
  305  2015-11-18T15:59:17  4.675e-04  2.279e-03  0.000e+00
  306  2015-11-18T15:59:17  4.529e-04  2.243e-03  0.000e+00
  307  2015-11-18T15:59:17  4.407e-04  2.213e-03  0.000e+00
  308  2015-11-18T15:59:17  4.224e-04  2.166e-03  0.000e+00
  309  2015-11-18T15:59:17  4.121e-04  2.140e-03  0.000e+00
  310  2015-11-18T15:59:17  3.968e-04  2.100e-03  0.000e+00
  311  2015-11-18T15:59:17  3.765e-04  2.045e-03  0.000e+00
  312  2015-11-18T15:59:17  3.594e-04  1.998e-03  0.000e+00
  313  2015-11-18T15:59:17  3.811e-04  2.058e-03  0.000e+00
  314  2015-11-18T15:59:17  3.507e-04  1.974e-03  0.000e+00
  315  2015-11-18T15:59:17  3.410e-04  1.946e-03  0.000e+00
  316  2015-11-18T15:59:17  3.307e-04  1.917e-03  0.000e+00
  317  2015-11-18T15:59:17  3.188e-04  1.882e-03  0.000e+00
  318  2015-11-18T15:59:17  3.036e-04  1.837e-03  0.000e+00
  319  2015-11-18T15:59:17  3.119e-04  1.862e-03  0.000e+00
  320  2015-11-18T15:59:17  2.976e-04  1.818e-03  0.000e+00
  321  2015-11-18T15:59:17  2.878e-04  1.788e-03  0.000e+00
  322  2015-11-18T15:59:17  2.717e-04  1.737e-03  0.000e+00
  323  2015-11-18T15:59:17  2.483e-04  1.661e-03  0.000e+00
  324  2015-11-18T15:59:17  3.954e-04  2.096e-03  0.000e+00
  325  2015-11-18T15:59:17  2.414e-04  1.638e-03  0.000e+00
  326  2015-11-18T15:59:17  2.298e-04  1.598e-03  0.000e+00
  327  2015-11-18T15:59:17  2.129e-04  1.538e-03  0.000e+00
  328  2015-11-18T15:59:17  1.990e-04  1.487e-03  0.000e+00
  329  2015-11-18T15:59:17  1.925e-04  1.462e-03  0.000e+00
  330  2015-11-18T15:59:17  1.888e-04  1.448e-03  0.000e+00
  331  2015-11-18T15:59:18  1.946e-04  1.470e-03  0.000e+00
  332  2015-11-18T15:59:18  1.847e-04  1.433e-03  0.000e+00
  333  2015-11-18T15:59:18  1.836e-04  1.428e-03  0.000e+00
  334  2015-11-18T15:59:18  1.821e-04  1.422e-03  0.000e+00
  335  2015-11-18T15:59:18  1.778e-04  1.406e-03  0.000e+00
  336  2015-11-18T15:59:18  1.728e-04  1.386e-03  0.000e+00
  337  2015-11-18T15:59:18  1.701e-04  1.375e-03  0.000e+00
